"Location","Compl.Score","Quests.Stars","Infects.Score","Overall.Score","Spends.Score","Images.Score","Values.Payment","Deaths.Score","Timely.Score","Median.Income","Percent.Population.Obese"
"DOUGLAS GA",12.8536363636364,3,0.639,3,0.94,10.9166666666667,19076.5,11.7,51.5,52691,30.463
"DOUGLAS KS",13.7572727272727,4,0.2365,3,0.91,9.56666666666667,19319.5,15.3,50,49508,24.08
"DOUGLAS NE",11.4984705882353,3.77777777777778,0.657695652173913,3.5,0.984444444444444,8.18125,19936.0833333333,13.2666666666667,54.2857142857143,53325,26.965
"DOUGLAS OR",14.1863636363636,2,0.517,3,0.86,9.34444444444444,17180.3333333333,12.3,97,40524,30.761
"DUBOIS IN",11.2636363636364,4,1.07333333333333,5,0.93,9.51666666666667,18322.5,12.2,54,54780,28.666
"DUPAGE IL",11.72828125,3.66666666666667,0.6038,3.5,1.06166666666667,9.43235294117647,20961.5,10.7,96,78487,23.484
"DURHAM NC",11.3383870967742,3.66666666666667,0.596666666666667,4,0.92,10.0916666666667,18091,11.25,54.5,51853,27.719
"DUTCHESS NY",7.93,3,0.9395,2.5,0.965,7.32222222222222,19290.5,13.85,56.5,72525,24.697
"DUVAL FL",14.2498701298701,2.85714285714286,1.06977777777778,3,1.01142857142857,10.3,20185.5714285714,10.1428571428571,53.125,48323,27.831
"DYER TN",1.50375,2,0.2245,2,1.02,4.08,19990.5,13.7,50.5,38953,33.539
"EDGECOMBE NC",14.8090909090909,4,0.638333333333333,3,0.93,6.16666666666667,18577,10.8,53,33960,37.979
"EFFINGHAM IL",16.8454545454545,4,1.00275,4,0.96,9.78333333333333,17584.5,10.6,53.5,52108,27.577
"EL DORADO CA",14.8331818181818,4,0.4993,3.5,0.87,13.3181818181818,16578.3333333333,11.7,53.5,69297,20.023
"ELKHART IN",14.08,4,0.673538461538462,3.5,0.955,10.1166666666667,19620.75,14.05,49,45693,29.181
"ELKO NV",1.34444444444444,1,0.2535,2,0.9,12.7,18995,13,50.75,70238,28.907
"ELLIS TX",1.89117647058824,3.5,0.531125,3,1.055,8.9375,18693,12,51.75,61952,28.681
"EMPORIA CITY VA",1.44,3,0.6265,2,0.97,5.95,18099,11.5,52.5,32155,30.904
"ERIE NY",15.3461666666667,2.5,0.875282051282051,2.33333333333333,0.991666666666667,4.92222222222222,18312,13.0833333333333,60.7692307692308,50653,27.041
"ERIE PA",10.8677419354839,2.66666666666667,0.866476190476191,3,1.04333333333333,10.5235294117647,19297,12.525,81,45202,28.4
"ESSEX MA",9.34603773584906,2.8,0.641088235294118,3.2,1.038,7.625,20569.4,10.46,52.5454545454545,67311,23.233
"ESSEX NJ",14.1367123287671,2.42857142857143,0.77616,1.85714285714286,1.08142857142857,7.00645161290323,21495.5714285714,10.5285714285714,54.5,55095,25.819
"ESSEX VA",2.222,4,1.0645,4,0.89,3.74,18539.5,11.6,53.5,44885,29.744
"FAIRFAX VA",14.5852272727273,3,0.792892857142857,3.25,0.955,8.49047619047619,19949.375,11.65,49.5,110292,21.386
"FAIRFIELD CT",15.4540909090909,3,0.780266666666667,2.33333333333333,1.02333333333333,13.3382352941176,20115.5833333333,11.15,49,82283,18.669
"FAIRFIELD OH",13.3566666666667,3,0.811285714285714,2,1,7.2,20719.5,13.3,50.75,58786,29.973
"FAULKNER AR",16.7472727272727,3,0.63675,3,0.99,13.74,18080,15.3,100,50314,29.339
"FAUQUIER VA",15.0709090909091,3,0.0872,2,1.02,10.7833333333333,19141.5,13.6,51.4,88409,25.6
"FAYETTE GA",11.7445454545455,3,0.5565,2,0.95,10.2333333333333,19488.5,12.7,53,79977,26.048
"FAYETTE KY",14.2327272727273,2.5,0.573833333333333,2.75,1.005,9.26956521739131,20354.5,12.3,51.5,48398,27.444
"FAYETTE PA",1.65722222222222,3,0.3195,3.5,0.965,13.1545454545455,16904.3333333333,12.9,54.5,39115,33.911
"FLATHEAD MT",8.1295,3.33333333333333,0.648,4,0.94,9.36923076923077,18547,13,52.5,46581,20.311
"FLORENCE SC",12.4178571428571,3,0.731625,2.66666666666667,0.97,10.49375,16818,11.2,48.5,41910,32.95
"FLOYD KY",2.347,3.5,0.8382,3,0.95,10.0416666666667,18744.6666666667,11.4,50.8,30476,36.038
"FORD KS",2.564,2,0.5575,3,0.89,3.8,18668,13,50,51178,30.43
"FORREST MS",18.0118181818182,3,0.572538461538462,2.5,1,12.1545454545455,20594,13.3,57.5,36726,33.436
"FORSYTH GA",15.6518181818182,4,0.576875,3,0.95,11.6166666666667,19005,11.9,47,86569,23.811
"FORSYTH NC",10.8758064516129,3.33333333333333,0.7551,3.66666666666667,0.95,11.1833333333333,18372.75,11.75,50,45724,25.892
"FORT BEND TX",7.7742,3.2,0.662357142857143,3.5,1.064,12.865,20532.25,11.5,53.4285714285714,85297,25.016
"FRANKLIN KY",2.35,3,0.399833333333333,3,0.97,3.075,20268,11.8,50.5,46071,30.961
"FRANKLIN MA",2.478,3,0.627,3,0.9,4.5,18867,12.5,51,53663,22.387
"FRANKLIN ME",2.218,4,0.115,3,0.95,10.84,17662.5,12.3,57.5,41626,27.151
"FRANKLIN MO",14.0009090909091,3,0.880166666666667,4,0.92,10.6727272727273,19318.6666666667,12.4,52.75,48857,30.367
"FRANKLIN NY",2.539,3.5,0.4425,3.5,0.825,9.72222222222222,18124.5,12.4,53.5,45667,28.073
"FRANKLIN OH",13.39,3.25,0.671203703703704,3,0.98625,8.95641025641026,19117.8461538462,12.2571428571429,54.1666666666667,50877,28.707
"FRANKLIN PA",8.61894736842105,3.5,0.854333333333333,3.5,0.89,7.02727272727273,18960.5,10.5,53.5,52637,29.461
"FRANKLIN TN",13.3027272727273,3,0.2084,2,0.94,10.05,20066,11.3,51.75,42904,30.142
"FRANKLIN VT",2.582,4,1.8385,2,0.98,7.41666666666667,18202.5,11.1,43,56240,27.195
"FREDERICKSBURG CITY VA",13.0863636363636,2,0.617857142857143,2,1,1.65,20570,11,56.5,47040,28.043
"FREEBORN MN",2.398,3,1.02125,4,0.86,9.46666666666667,17901.5,11.7,54.5,44683,28.64
"FRESNO CA",10.8582089552239,3,0.85795,2.71428571428571,0.91875,5.47,19525.7142857143,12.95,55,45563,26.934
"FULTON GA",14.8935135135135,2.85714285714286,0.948653846153846,2.42857142857143,0.978571428571429,8.32051282051282,18843.0714285714,10.8285714285714,54,56857,23.255
"FULTON NY",1.4975,4,0.222,3,0.95,6.4,18061.5,12.9,54,44276,26.555
"GALAX CITY VA",2.265,3,0.193666666666667,2,0.97,11.42,18242,13.5,51,30325,26.659
"GALLIA OH",14.525,3,1.0638,2,1.07,9.66666666666667,21436.5,9,56.3333333333333,39226,29.782
"GARFIELD OK",13.9995454545455,3.5,0.504916666666667,4,0.955,15.2363636363636,19044.25,13.25,53.5,44530,31.752
"GARLAND AR",15.9763636363636,3,1.08328571428571,2,1.005,15.99,18729,16.15,57,39162,28.076
"GASTON NC",13.0854545454545,3,0.536375,4,0.95,9.6,19137.5,12.3,52.5,42017,28.903
"GEORGETOWN SC",14.6304545454545,3.5,0.820636363636364,3,0.945,16.475,19761,11.45,49.8,40131,31.033
"GILA AZ",2.1,2.5,0.6295,3,0.93,9.35555555555556,18411,9.8,52.75,39954,25.868
"GLOUCESTER NJ",15.8209090909091,3,0.421428571428571,3,1.03,5.12,19536,11.2,44.5,74524,26.751
"GLOUCESTER VA",1.42666666666667,4,0.0975,4,0.87,8.28333333333333,18435.5,12.4,52.5,60519,28.956
"GLYNN GA",15.2627272727273,4,0.688,2,0.95,11.9666666666667,18597,12.9,75,46407,28.024
"GORDON GA",2.063,4,0.661857142857143,5,0.92,13.0166666666667,18549.5,10.9,52.5,40926,28.212
"GRAFTON NH",12.89,3.5,0.706272727272727,3.4,1.02,6.89090909090909,17402.75,13.32,54,54912,23.882
"GRAND FORKS ND",14.6090909090909,3,0.339857142857143,3,0.97,10.3,19774,12,100,46745,28.094
"GRANT IN",14.3627272727273,3,1.0552,4,1.05,11.06,20341.5,10.4,44,39747,31.553
"GRANVILLE NC",15.015,4,0.5312,3,0.92,5.175,18097.5,14.8,56.5,49852,33.578
"GRATIOT MI",2.425,3,0.176,3,0.99,12.5666666666667,18701,11,48.3333333333333,40359,32.855
"GRAVES KY",1.15125,3,0.398,3,1.05,8.15,19682,11.3,43.6666666666667,38394,30.261
"GRAYS HARBOR WA",2.46,3,0.3825,2.5,0.93,3.075,17950,13.8,51.6666666666667,42405,32.961
"GRAYSON TX",11.3572413793103,3.66666666666667,0.642533333333333,2.5,1.03666666666667,16.9769230769231,20396.25,11.1,83,46429,26.494
"GREENBRIER WV",2.152,3,0.607714285714286,3,0.95,10.5833333333333,17769.5,14.3,53.75,37895,30.476
"GREENE AR",1.43222222222222,3,0.5135,2,1.01,20.55,19413,16.5,45,38413,32.208
"GREENE MO",12.2665517241379,3,0.5630625,3,0.96,12.54375,18536.25,13.3,8.5,40337,28.824
"GREENE TN",9.1745,3,0.179,3,0.955,12.4444444444444,17126.3333333333,13.5,53.2,35545,31.022
"GREENVILLE SC",7.209,4,0.642346153846154,4.33333333333333,0.951666666666667,8.92333333333333,18659.8571428571,12.86,52.2857142857143,49022,26.364
"GREENWOOD SC",17.7109090909091,4,0.824625,3,1.04,12.3833333333333,18915.5,11.9,100,36540,31.461
"GREGG TX",11.2896153846154,3,0.9232,3.5,1.015,13.1166666666667,18869.75,11.45,48,45525,30.48
"GUADALUPE TX",1.42777777777778,4,0.4262,3,1.15,10.8,20669,13.3,50,61958,28.661
"GUERNSEY OH",15.4372727272727,4,0.400166666666667,3,0.94,7.14,19708.5,12,56.6666666666667,38841,31.014
"GUILFORD NC",14.4881818181818,3,0.4978125,4,0.975,8.425,17934.75,12.25,69.3333333333333,45431,27.283
"HALIFAX VA",14.8918181818182,3,0.774,3,0.91,11.0166666666667,17333.5,13.1,53.5,34659,32.174
"HALL NE",16.0563636363636,3,0.491142857142857,3,0.99,5.43333333333333,19819,10.7,50.5,48712,30.88
"HAMBLEN TN",8.72380952380952,2.5,0.252222222222222,1.5,1.055,9.825,17920.25,13.8,49,39596,29.825
"HAMILTON IN",9.17351851851852,4.16666666666667,0.760652173913043,4,1.01666666666667,10.4545454545455,18887.1428571429,13.425,56.1428571428571,82468,23.529
"HAMILTON OH",12.1113253012048,3.125,0.729018181818182,3.57142857142857,0.9875,10.5142857142857,20439.7142857143,11.4571428571429,53.1666666666667,48593,27.305
"HAMILTON TN",14.269696969697,3,0.810260869565217,2.66666666666667,0.993333333333333,10.1176470588235,19881,12.4333333333333,48.25,46702,29.044
"HAMPDEN MA",10.8424489795918,3,1.20304166666667,3.2,1.034,6.03076923076923,18954.5555555556,11.58,54.5384615384615,49094,26.683
"HAMPSHIRE MA",9.18,3,0.709285714285714,3.5,1.02,7.4,18080.6666666667,11.45,52.5,61227,20.396
"HAMPTON CITY VA",15.2027272727273,4,0.841,3,0.95,12.0166666666667,18848,13.5,68.6666666666667,50705,33.08
"HANCOCK IN",2.384,4,0.897,3,1.01,13.52,18847,12.8,50,62981,29.007
"HANCOCK ME",1.75090909090909,4.5,1.262,3.66666666666667,0.92,7.95,17331.5,12.4666666666667,53.6666666666667,47460,23.946
"HANCOCK WV",13.6754545454545,2,0.982142857142857,3,1.06,14.0833333333333,22475,9.7,50.5,38522,32.535
"HARDIN KY",12.25,3,0.566625,4,0.96,10.7666666666667,18179,11.7,53.5,48687,30.15
"HARRIS TX",10.7602769230769,2.93548387096774,0.651768844221105,3.20689655172414,1.07484848484848,12.1611111111111,21185.1538461538,11.2333333333333,52.0769230769231,53137,26.36
"HARRISON MS",16.8381818181818,2.66666666666667,0.39447619047619,2.33333333333333,1.02,17.5375,19254.8,11.9666666666667,51.6666666666667,43124,31.598
"HARRISON WV",14.2381818181818,3,0.711571428571429,4,0.96,11.9333333333333,18708.5,11.3,69,43183,31.607
"HARRISONBURG CITY VA",12.7136363636364,3,0.599571428571429,3,0.94,10.2333333333333,20195.5,10.7,94,38048,26.561
"HARTFORD CT",14.1964788732394,3,0.72,2.5,1.02428571428571,7.30909090909091,20432.5,10.9166666666667,53.5714285714286,64967,23.496
"HARVEY KS",15.3227272727273,4,0.940333333333333,4,0.92,9.61666666666667,19648.5,10.7,53.5,50287,29.242
"HAWAII HI",1.3692,3,0.469,3,0.876666666666667,11.1,16102.75,11.7666666666667,52.125,51250,22.455
"HAYWOOD NC",13.8818181818182,3,0.0856666666666667,3,0.92,11.15,17745,10.1,54.6666666666667,41557,26.56
"HENDERSON KY",2.002,3,1.00733333333333,4,1.04,6.82,19661,11.9,49.5,41940,30.65
"HENDERSON NC",13.3152380952381,4,0.827363636363636,3.5,0.985,12.8909090909091,19808.75,13,52,44815,24.188
"HENDERSON TX",2.117,2,0.2038,2,1.04,12.7833333333333,19392,14.1,46,40900,27.458
"HENDRICKS IN",13.4504545454545,4,0.597,4.5,0.995,12.3666666666667,19233.5,11.15,48,68297,29.522
"HENNEPIN MN",11.6969620253165,3.28571428571429,0.787705882352941,3.42857142857143,0.925714285714286,6.6625,19235.7692307692,11.0428571428571,48,64403,22.014
"HENRY TN",12.8581818181818,4,0.3315,3,1.02,12.1,17702,12.7,48,36950,32.548
"HENRY VA",11.9254545454545,2,0.329714285714286,3,0.96,9.23333333333333,19708.5,12,48.75,34984,28.782
"HERNANDO FL",13.0386363636364,2,0.929266666666667,2,1.045,10.3,19909.75,12.95,48.3333333333333,41024,26.513
"HIDALGO TX",11.5791803278689,2.66666666666667,0.813485714285714,3.4,0.985,8.084,20954,9.88,54,34146,30.463
"HIGHLANDS FL",13.3527272727273,2.5,0.552,2.5,1.02,14.2222222222222,20834.75,11.25,5,35560,27.363
"HILLSBOROUGH FL",13.7742857142857,2.66666666666667,0.754723076923077,2.33333333333333,1.03444444444444,6.22051282051282,20034.8666666667,11.5111111111111,51.25,49596,25.877
"HILLSBOROUGH NH",13.9171111111111,3.4,0.876931034482759,3.8,1.0075,10.0633333333333,19829.4,11.4,50.5,69829,25.457
"HILLSDALE MI",1.42888888888889,3,0.036,4,0.98,8.98333333333333,19426,12.9,52,41759,29.801
"HINDS MS",15.9188636363636,3.5,0.734375,2.25,1.0225,10.1041666666667,18796.875,12.775,97,37626,33.411
"HONOLULU HI",12.6648571428571,3.57142857142857,0.490591836734694,3.42857142857143,0.888571428571429,8.87666666666667,18411.9285714286,12.0142857142857,58.7142857142857,72764,20.713
"HOOD TX",2.089,2,0.345,3,1.05,15.4333333333333,18925,12.9,57,55754,26.558
"HOPEWELL CITY VA",1.49444444444444,3,0.4638,2,0.97,15.66,19725.5,12.4,43,37933,30.934
"HOPKINS TX",1.45333333333333,3,0.24525,3,1.02,8.72,21132,11.7,45,43657,29.318
"HORRY SC",15.419696969697,3.33333333333333,0.597409090909091,3.33333333333333,0.936666666666667,9.56666666666667,19176.1666666667,11.4333333333333,47.6,42431,27.315
"HOUGHTON MI",2.75272727272727,4.5,0.1565,3.5,0.91,5.44444444444444,17631.5,14.1,51.75,35430,28.157
"HOUSTON AL",18.3304545454545,3.5,1.06075,3.5,1.01,10.6333333333333,18275,13.3,92,40948,32.623
"HOUSTON GA",8.57555555555555,3,0.355090909090909,3.5,0.915,13.6875,17259.6666666667,11.05,51.5,54893,29.889
"HOWARD IN",14.7813636363636,3,0.6165,3.5,1.05,11.3,21659.25,13.05,62.75,43590,31.557
"HOWARD TX",1.255,3,0.4315,2,1.04,7.6,19765,13.2,48.5,45612,28.914
"HOWELL MO",13.8563636363636,3,0.4694,3,0.91,14.9833333333333,17217,14.9,100,32533,29.669
"HUDSON NJ",11.5455172413793,2.16666666666667,0.486527777777778,1.83333333333333,1.085,7.956,20988.9166666667,11.35,56,58442,23.032
"HUMBOLDT CA",8.6885,2.5,1.04791666666667,3,0.875,7.94444444444444,15378,13.2666666666667,53.3333333333333,41426,24.581
"HURON MI",1.64222222222222,4,0,4,0.88,10.1083333333333,17616.5,12.2,51.6666666666667,40204,29.554
"HURON OH",2.22181818181818,4.5,0.8295,4,0.92,5.82,19209.3333333333,11.4,54,49404,31.015
"IMPERIAL CA",2.4755,2,0.9705,2,0.955,10.72,19103,12.15,100.285714285714,41807,24.39
"INDEPENDENCE AR",16.8154545454545,3,1.00228571428571,2,0.99,12.05,20434.5,14.1,47.5,35026,29.886
"INDIANA PA",2.229,3,0.449666666666667,3,0.99,9.525,19385.5,13.1,64.6666666666667,43997,29.606
"IREDELL NC",10.03125,2.66666666666667,0.470176470588235,2.66666666666667,0.933333333333333,5.98666666666667,18279.5,12.6333333333333,49.1666666666667,50329,26.984
"ISABELLA MI",1.30222222222222,3,0,4,0.92,7.35,19047,12.1,53,36372,29.655
"JACKSON FL",2.837,4,0.300666666666667,3,1.03,13.2,17965,11.25,53,36809,31.166
"JACKSON GA",1.34714285714286,2,0.2985,2,0.94,11.0333333333333,18464.5,12.9,48,53179,26.436
"JACKSON IL",12.6409090909091,4,0.5713,3,1.02,10.0285714285714,19153,10.55,52,33479,28.024
"JACKSON MO",10.7871739130435,3,0.678774193548387,3.11111111111111,0.945555555555556,10.0478260869565,18906.6875,12.175,52.1666666666667,47015,30.071
"JACKSON OK",2.223,4,0.299,3,0.87,22.2,18484.5,12.1,49.5,42824,30.817
"JACKSON OR",10.514375,3.33333333333333,0.82375,3.33333333333333,0.913333333333333,7.06666666666667,17515.8,13.9333333333333,56,44005,23.102
"JAMES CITY VA",8.0495,4,0.244333333333333,4,0.98,8.56666666666667,17529.3333333333,11.55,69.6666666666667,76960,25.486
"JEFFERSON AL",15.2198780487805,3.42857142857143,0.774735849056604,2.71428571428571,1.00714285714286,13.2675675675676,18847.3571428571,12.2142857142857,58.3333333333333,45429,31.356
"JEFFERSON AR",13.0727272727273,2,0.266625,2,1.07,15.15,18480.5,12.6,64.3333333333333,37140,36.113
"JEFFERSON CO",11.1351724137931,3.66666666666667,0.669705882352941,3.66666666666667,0.95,3.71111111111111,20095.5,11.7,8,68984,17.775
"JEFFERSON IL",8.32428571428571,3.5,0.4809,2.5,0.975,4.71111111111111,17393.3333333333,11.45,37.6666666666667,42981,29.926
"JEFFERSON IN",2.308,4,0.3044,4,0.95,12.8,20472.5,12.4,46,43795,31.31
"JEFFERSON KY",16.8174418604651,2.75,1.05916129032258,2.5,1.005,10.7916666666667,19817.25,11.8,51.25,46959,30.049
"JEFFERSON NY",2.466,3,1.39757142857143,2,0.94,8.3,18457.5,14.1,52.3333333333333,46484,28.111
"JEFFERSON PA",1.70125,4,0.1925,3.5,1.05,8.1,19072.75,11.85,51.25,41262,28.709
"JEFFERSON TX",14.3354545454545,2.66666666666667,0.921045454545455,3,1.07666666666667,12.82,20463.5,13.2333333333333,67.1666666666667,42568,31.715
"JERSEY IL",1.10142857142857,4,0,3,1.05,13.9,19274.5,13.9,52,53954,28.275
"JIM WELLS TX",2.15111111111111,3,0.6782,3,1.09,21.5666666666667,20793.5,11.2,47,40585,28.038
"JOHNSON KY",1.09857142857143,3,0.33975,3,0.92,6.75,18809.5,11.5,51.5,34090,36.465
"JOHNSON TX",7.77095238095238,3.5,0.202692307692308,4,1.055,5.9,19732,9.5,50.1666666666667,57535,29.848
"JOHNSTON NC",14.7972727272727,4,0.738428571428571,3,0.96,12.0166666666667,19185,11.5,45.6666666666667,49711,32.306
"JONES MS",13.4472727272727,3,0.837285714285714,1,0.91,6.575,18322.5,12.3,49.6666666666667,38074,35.227
"JOSEPHINE OR",14.1872727272727,3,0.156428571428571,3,0.88,10.6666666666667,17114.5,14.7,52.3333333333333,37733,24.828
"KANAWHA WV",13.7651515151515,3,0.6482,3.33333333333333,0.94,10.5875,19787.6666666667,10.7333333333333,63,46085,30.581
"KAUAI HI",2.307,3.5,1.06,3.5,0.87,2.33333333333333,17787,12.6,55.75,62052,20.734
"KAY OK",1.79823529411765,3,0.8214,3.5,1,9.38571428571429,16780,12.6,52.5,41012,29.987
"KENNEBEC ME",8.02190476190476,4,0.5914,4,0.97,2.35,18731.5,12.75,53.5,46808,29.262
"KENOSHA WI",14.6586363636364,3.5,0.482642857142857,3.5,0.98,10.1833333333333,19666,12.5,59.5,54930,29.523
"KENT MI",13.0945454545455,3.66666666666667,0.937695652173913,3.66666666666667,0.95,10.3555555555556,18702.1666666667,11.7666666666667,53.25,51667,28.016
"KENT RI",15.8436363636364,3,1.34342857142857,3,1,4.12,19079,11.1,62,62279,24.816
"KENTON KY",13.7045454545455,3,0.507125,4,1.03,9.7,20066,10.8,52.5,54270,27.609
"KERN CA",10.9154285714286,1.875,0.812571428571429,1.875,0.99,8.06538461538462,19364.9,11.7714285714286,49.3333333333333,48552,28.051
"KERR TX",13.082,4,1.0075,3,1.06,10.5333333333333,19638.5,14.8,50.25,43601,25.729
"KERSHAW SC",2.655,3,1.1175,4,0.98,10.1166666666667,18911,11.4,53.6666666666667,43765,30.176
"KING WA",14.6693617021277,3.07142857142857,0.964258064516129,3.21428571428571,0.961538461538462,9.19466666666667,19210.962962963,12.2928571428571,60.35,71811,21.206
"KINGS CA",15.3683333333333,1.5,0.93325,2,0.89,22.04,18046,11.8,57.3333333333333,48133,25.612
"KINGS NY",11.4009166666667,1.69230769230769,1.0681847826087,1.46153846153846,1.02230769230769,6.48292682926829,19512.1538461538,10.2307692307692,64.2727272727273,46085,23.324
"KLAMATH OR",14.6918181818182,3,1.229,3,0.83,11.0166666666667,18534.5,14.4,79,39627,27.322
"KNOX IL",2.371,3.5,0.664285714285714,3,1.02,7.98,18515.5,12.7,56,40667,27.613
"KNOX IN",13.4,4,1.14828571428571,3,1.07,16.2166666666667,19397,13.9,50.5,42119,30.464
"KNOX KY",12.6627272727273,3,0.506,3,0.96,10.6888888888889,17578,12.2,49.5,24038,32.803
"KNOX ME",2.332,4,0.7855,3,0.91,3.16,17768.5,11.7,52.25,49755,23.464
"KNOX OH",1.929,3,0.2805,3,0.99,12.7166666666667,18936,13.2,51,49750,28.897
"KNOX TN",15.3147727272727,3.5,0.8699375,3,0.9725,10.7666666666667,19243.125,13.9,67.3333333333333,47694,28.254
"KOSCIUSKO IN",1.55333333333333,3,0.0855,3,0.98,7.68,19147.5,12.1,52,50859,29.608
"LACKAWANNA PA",16.8548484848485,2.66666666666667,0.668954545454545,1.66666666666667,1.10666666666667,9.2375,20436.3333333333,13.8333333333333,64.5,46044,26.242
"LAFAYETTE MS",13.0136363636364,3,0.890125,4,0.96,6.96,18954,11.8,68.3333333333333,43328,31.578
"LAKE FL",15.3975757575758,2.66666666666667,0.844545454545454,2.33333333333333,1.00666666666667,6.9625,20034,11.5333333333333,49,45035,26.393
