"","Location","Compl.Score","Quests.Stars","Infects.Score","Overall.Score","Spends.Score","Images.Score","Values.Payment","Deaths.Score","Timely.Score"
"1","ADAIR MO",12.76,4,0.4,4,0.93,12.125,19989,12.7,51
"2","ADAMS CO",11.210625,3.66666666666667,0.592714285714286,2.66666666666667,0.973333333333333,8.69333333333333,19578.6666666667,13.3333333333333,52.5
"3","ADAMS MS",2.332,2,0.46225,2,1.16,22.02,18428.5,15.9,51.5
"4","ADAMS NE",14.52,3,0.19525,3,1.01,9.42,20781,14.1,54.5
"5","ALAMANCE NC",15.8345454545455,3,0.980142857142857,3,0.91,10.3333333333333,19019.5,16.4,49.6666666666667
"6","ALAMEDA CA",11.0716949152542,2.66666666666667,0.8254125,2.5,1,5.6675,19626.7368421053,13.2777777777778,59.6666666666667
"7","ALBANY NY",11.6315625,2.33333333333333,0.843909090909091,2.33333333333333,0.96,6.52307692307692,19579.3333333333,13.8333333333333,46.6666666666667
"8","ALBEMARLE VA",17.5972727272727,4,0.625142857142857,3,0.93,8.98333333333333,17649.5,16.7,66.3333333333333
"9","ALCORN MS",17.85,4,0.498857142857143,2,0.96,10.45,18797,17.6,53
"10","ALEXANDRIA CITY VA",14.5436363636364,2,1.18614285714286,3,0.99,10.65,19580.5,13.3,54
"11","ALLEGANY NY",1.34285714285714,3,0.4565,3,0.89,4.93333333333333,18000,16,52
"12","ALLEGHANY VA",2.186,3,0.307666666666667,3,0.92,11.4166666666667,18503,15.1,52
"13","ALLEGHENY PA",11.4796178343949,2.86666666666667,0.821038461538461,3,1.05866666666667,9.59285714285714,20457.3214285714,13.9615384615385,53.875
"14","ALLEN IN",9.65178571428572,3.5,0.811148148148148,3.66666666666667,0.99,9.82,18213.1428571429,14.5333333333333,47.6666666666667
"15","ALLEN OH",10.7021428571429,3.66666666666667,0.445,4,0.97,9.52142857142857,20026.25,13.15,19
"16","ALPENA MI",14.0509090909091,3,0.795,4,1,12.5333333333333,19466.5,14.3,47.25
"17","AMADOR CA",15.8045454545455,3,0.487333333333333,2,0.92,10.92,20981.5,15.9,52
"18","ANDERSON TX",12.9436363636364,2,0.175333333333333,3,1.05,9.625,19740.5,14.1,48.5
"19","ANDROSCOGGIN ME",14.3022727272727,3,0.673333333333333,3.5,0.985,5.87272727272727,18070.25,14.35,49.3333333333333
"20","ANOKA MN",12.365,3.5,0.560733333333333,4.5,0.905,2.47142857142857,19296.25,13.25,49.2
"21","ARAPAHOE CO",13.55,3.33333333333333,0.798608695652174,3.66666666666667,1.02333333333333,6.84666666666667,19447.3333333333,14.0666666666667,52.5
"22","ARMSTRONG PA",2.175,3,0.36625,4,0.94,13.4,19573.5,14.1,45.5
"23","AROOSTOOK ME",6.59448275862069,4,0.728375,3.75,0.873333333333333,9.76470588235294,18121.5,13.475,51.5
"24","ASCENSION LA",2.684,4,0.5855,3,1.12,5.33333333333333,15802,14,53
"25","ASHLAND OH",1.13222222222222,4,0.305,4,0.92,8.02,19501,14.7,51
"26","ASHTABULA OH",1.87235294117647,3.66666666666667,0.252,4,0.885,4.72727272727273,18866,12.3,52.875
"27","ATLANTIC NJ",17.0113636363636,3,0.593866666666667,3.5,1.01,5.46666666666667,20472.75,13.8,60
"28","AUGLAIZE OH",1.35888888888889,4,0,4,1,7.16666666666667,19054,14.5,52
"29","AUTAUGA AL",1.26875,4,0.1954,4,0.94,16.525,19984.5,13.9,57.6666666666667
"30","BALDWIN AL",11.354,3.66666666666667,0.5745625,3,0.936666666666667,15.0142857142857,18096.6,14.35,49.5
"31","BARNSTABLE MA",14.0945454545455,3,0.749285714285714,3.5,1.01,10.43,19397.75,12.4,58.3333333333333
"32","BARTHOLOMEW IN",14.3654545454545,3,0.756375,4,0.97,9.55,20690,14.3,100
"33","BARTOW GA",13.7336363636364,3,0.834428571428571,4,0.96,4.16,19100,13.3,54
"34","BAXTER AR",15.1918181818182,3,0.891285714285714,3,0.97,12.05,20315.5,16,63
"35","BAY FL",13.8554545454545,2.5,0.566133333333333,3.5,1.065,9.28,20530,13.8,91
"36","BEAUFORT NC",2.12,4,0.316666666666667,3,0.9,12,13031,13.7,54
"37","BEAUFORT SC",15.2971428571429,3,0.786857142857143,3,0.96,8.50909090909091,18757,14.7,49.5
"38","BEAUREGARD LA",1.57,4,1.339,3,1.04,17.75,19524,13.6,55
"39","BEDFORD VA",1.40285714285714,3,1.5275,3,0.84,4.025,18524.5,13.9,53.5
"40","BELKNAP NH",15.0172727272727,3,0.3635,3,1.02,9.18333333333333,19799.5,14.3,58
"41","BELL KY",1.19466666666667,3.5,0.0371666666666667,3.5,0.86,9.64285714285714,15755.3333333333,16.9,52.75
"42","BELL TX",9.908125,4,0.441857142857143,3.66666666666667,0.973333333333333,11.75,19359.5,13.0666666666667,39.3333333333333
"43","BELMONT OH",1.16071428571429,3.5,0.4076,3.5,1.01,12.0857142857143,18709.6666666667,13.4,54.6666666666667
"44","BENNINGTON VT",2.152,4,0.17225,4,0.93,10.9333333333333,17808.5,15.2,54
"45","BENTON AR",7.63473684210526,3.33333333333333,0.332818181818182,3.33333333333333,0.975,9.21818181818182,18015.6666666667,13.4,51
"46","BERGEN NJ",11.3585245901639,3,0.645024390243902,3,1.09166666666667,10.375,21228.6,13.04,68
"47","BERKELEY WV",15.0545454545455,2,0.347285714285714,3,0.95,12.1666666666667,17967.5,16.4,68.6666666666667
"48","BERKSHIRE MA",16.6975,4,0.313,4,1.01,7.04545454545455,18559,14.9,48.8333333333333
"49","BERNALILLO NM",9.6175,2.8,0.866030303030303,2.8,0.948,7.86818181818182,17632.75,13.3,50.75
"50","BERRIEN MI",9.24888888888889,4.5,0.391571428571429,3.5,0.955,8.7375,18459,15.6,52.5
"51","BEXAR TX",11.6689423076923,3.45454545454545,0.755464285714286,3.5,1.00636363636364,5.05161290322581,20912.5,14.3714285714286,56.125
"52","BIBB GA",12.9956666666667,2.66666666666667,1.01245,3,1.00333333333333,3.37692307692308,18400.8,15.85,54.5
"53","BLACK HAWK IA",10.5,3,0.66725,2.66666666666667,0.976666666666667,7.89333333333333,19910.4,14.15,55
"54","BLAIR PA",10.0452380952381,3.66666666666667,0.551636363636364,3,1.055,9.45,18347.5,13.9,82.4
"55","BOONE AR",14.9827272727273,3,0.358,3,0.91,16.9,19156,15.3,47.3333333333333
"56","BOONE IN",2.412,4,0.794,4,0.97,15.5,18293.5,13.4,48.6666666666667
"57","BOONE KY",15.742,3,1.06375,3,1.04,8.51666666666667,20826.5,12.4,55
"58","BOULDER CO",12.0418604651163,3.5,0.81856,3.25,0.975,6.25,19978,14.4666666666667,44.5
"59","BOWIE TX",16.4377272727273,3.5,0.811,2.5,1.075,15.975,19701.25,13.85,62.3333333333333
"60","BOYD KY",14.4177272727273,4,0.586333333333333,3,0.955,12.0416666666667,18981.75,14.2,58
"61","BOYLE KY",13.0472727272727,3,1.298,2,0.96,11.6666666666667,20373,13.4,52
"62","BRADFORD PA",9.84529411764706,3.66666666666667,0.757818181818182,2.66666666666667,0.905,9.27333333333333,17126.5,11.6,59.6
"63","BRADLEY TN",18.5163636363636,2,0.745,2,1.02,9.75,18383,14.3,50
"64","BRANCH MI",2.137,4,0.34525,4,0.93,14.8,17744,15.9,52.3333333333333
"65","BRAZORIA TX",1.80071428571429,3,0.377333333333333,3,1.085,9.51428571428571,17259.5,12.8,50
"66","BRAZOS TX",10.2189473684211,4.25,0.809058823529412,3,0.955,12.3764705882353,19871.3333333333,14.6666666666667,51.5
"67","BREVARD FL",13.3426315789474,3.14285714285714,0.517382978723404,3.28571428571429,1.01571428571429,7.16111111111111,20582.8571428571,15.1428571428571,63.875
"68","BRISTOL MA",14.9429545454545,3,0.585466666666667,3,1.03,9.5375,20058.25,13.225,51.6666666666667
"69","BRONX NY",9.8987037037037,1.66666666666667,0.799790697674419,1.5,0.98,7.14761904761905,18490.0909090909,13.68,73.6666666666667
"70","BROOKINGS SD",1.3825,4,0,4,0.91,6.375,16871.5,13.9,49
"71","BROOME NY",15.4004545454545,2.5,0.738928571428571,1.5,0.915,10.71,16489.25,15.1,56.5
"72","BROOMFIELD CO",14.0018181818182,3,1.03016666666667,4,0.92,3.275,20435.5,14.1,45
"73","BROWARD FL",9.88748299319728,2.71428571428571,0.622457943925234,2.57142857142857,1.04785714285714,8.34642857142857,21141.8214285714,13.6214285714286,55
"74","BRUNSWICK NC",13.6,3,0.3554,3,0.92,7.8,17243.3333333333,13.8,50.4
"75","BRYAN OK",14.375,2,0.54275,3,1,11.25,17851,13.9,55.5
"76","BUCHANAN MO",12.0681818181818,3,0.654285714285714,5,0.95,10.2333333333333,18580.5,11.2,100
"77","BUCKS PA",10.3898305084746,3.5,0.751551724137931,3.8,0.95,8.43703703703704,19569.6,12.94,49
"78","BUREAU IL",2.192,3.5,0.5635,3.5,1,10.7375,17774.3333333333,14.4,51.75
"79","BURKE NC",12.5627272727273,3,0.606857142857143,3,0.95,9.21666666666667,18421,13.8,49.3333333333333
"80","BURLINGTON NJ",15.6096774193548,3,0.69765,3,1.03333333333333,3.87857142857143,20976.3333333333,14.5,54
"81","BUTLER KS",9.1725,3.5,0.279166666666667,3.5,0.965,10.3777777777778,18702.3333333333,12.5,51.5
"82","BUTLER MO",9.8525,3,0.534285714285714,2.5,0.97,13,20761.5,15,47
"83","BUTLER OH",11.6304761904762,4,0.6786,3.75,1.005,9.60454545454546,19417.8571428571,12.9,52
"84","BUTLER PA",12.8218181818182,3,0.694,4,1.03,11.55,19704,13.9,54
"85","BUTTE CA",13.1909090909091,2.66666666666667,0.451,2.75,0.886666666666667,8.71578947368421,18357.5714285714,13.3333333333333,54.75
"86","CABARRUS NC",13.1981818181818,3,0.779,3,0.99,9.18333333333333,18306.5,15.1,53.5
"87","CABELL WV",16.3286363636364,3,1.36573333333333,2.5,0.985,9.65,18282.5,13.85,50.25
"88","CACHE UT",2.35666666666667,4,0.606714285714286,4,0.985,9.4,17666.5,13,55.75
"89","CADDO LA",13.96725,3.2,0.713416666666667,3.4,1.0425,9.92352941176471,17752.5714285714,14.5,54.5
"90","CALCASIEU LA",12.0337209302326,3.5,1.16817391304348,3,1.005,9.95294117647059,17823,13.9333333333333,63.3333333333333
"91","CALDWELL NC",14.411,3,0.579666666666667,2,1.05,13.96,18888.5,15.1,53
"92","CALHOUN AL",8.112,3,0.4897,2.66666666666667,1.03666666666667,13.9133333333333,19110,14.35,60.8
"93","CALHOUN MI",13.8463636363636,3.5,0.942818181818182,4,0.94,5.81,17527.3333333333,14.65,47.6
"94","CALLOWAY KY",2.348,4,1.0996,3,0.98,10.2333333333333,16721.5,14.9,53.5
"95","CAMBRIA PA",10.03375,3,0.545375,2,0.92,7.96666666666667,18328,13.8,52
"96","CAMDEN MO",15.0645454545455,3,0.772833333333333,3,0.9,2.225,19582.5,17.5,70
"97","CAMDEN NJ",15.0675,2.5,0.794258064516129,3.25,1.0325,8.46818181818182,20791.125,14.35,56.1428571428571
"98","CAMPBELL KY",14.332,3,1.328875,4,0.99,3.75,18383,15.1,54
"99","CANYON ID",2.0825,3,0.588,4,0.925,4.3,17934.75,13.7,55
"100","CAPE MAY NJ",14.8281818181818,3,1.223,3,1,9.1,21517.5,13.3,51.25
"101","CARBON PA",1.49444444444444,2,0.13275,2.5,1.02,10.8111111111111,18993,13.85,57
"102","CARROLL GA",8.33055555555556,3.5,0.461833333333333,3,0.965,7.18,19805,15.15,53.5
"103","CARSON CITY NV",8.53666666666667,3.5,0.6997,3.5,0.925,10.8454545454545,16545,13.4,52.5
"104","CARTER OK",17.7681818181818,3,0.625,3,1,12.75,19820.5,15.7,44
"105","CARTER TN",1.67555555555556,4,0.4305,4,1.04,12.76,19077.5,14.6,50
"106","CARTERET NC",14.5563636363636,4,0.701,3,0.92,11.4333333333333,18811,15.1,45.25
"107","CARVER MN",2.208,4,0.7172,4,0.95,2.675,18161,13.5,52.5
"108","CATAWBA NC",17.1933333333333,3.5,0.482285714285714,3,0.98,8.70833333333333,18626.5,16.55,68
"109","CATOOSA GA",1.39625,3,0.548333333333333,3,0.95,7.36666666666667,17928.5,15,57
"110","CATTARAUGUS NY",15.3881818181818,2,0.883571428571429,2,0.99,5.9,19137,14.2,53
"111","CAYUGA NY",2.31,2,0.942166666666667,2,0.92,7.55,17440,13.1,81
"112","CENTRE PA",12.7527272727273,4,0.668428571428571,3,0.98,5.28,18469.5,13.9,54.5
"113","CHARLESTON SC",12.5026229508197,3.83333333333333,0.706128205128205,3.66666666666667,0.993333333333333,10.0757575757576,18797.3333333333,13.9333333333333,51.6363636363636
"114","CHARLOTTE FL",12.0872727272727,1.33333333333333,0.750315789473684,2.33333333333333,1.04333333333333,6.54545454545454,20343.5,13.1666666666667,51.5
"115","CHATHAM GA",16.6633333333333,2.66666666666667,0.873913043478261,2.33333333333333,1,15.9941176470588,17402.2,15.65,65.6666666666667
"116","CHAUTAUQUA NY",1.72961538461538,2.66666666666667,0.365333333333333,2.66666666666667,0.976666666666667,9.85294117647059,17064,13.5,53
"117","CHAVES NM",8.93571428571429,2.5,0.282,2.5,0.95,13.2875,18635.5,13.5,67.6666666666667
"118","CHELAN WA",10.7826315789474,4,0.61175,3.5,0.86,8.53636363636364,17174.5,13.8,53.5
"119","CHENANGO NY",2.34,3,0.708,3,0.93,7.575,16037,13.6,52
"120","CHEROKEE GA",14.5036363636364,3,0.70575,3,1.01,5.88,19175.5,15.2,50
"121","CHEROKEE OK",7.82368421052632,3,0.485375,3,0.935,15.65,15914.3333333333,13.9,42
"122","CHEROKEE SC",2.35375,2,1.227,2,0.98,4.72,15145,14.6,49
"123","CHESHIRE NH",2.214,3,0.5694,4,0.97,8.33333333333333,18509.5,15,51
"124","CHESTER PA",12.4583333333333,3.4,0.753352941176471,3.8,1.038,9.27777777777778,20427.3,13.64,57.5
"125","CHESTERFIELD VA",14.7177272727273,3,0.6441875,2,0.995,10.4666666666667,20219.25,15.55,49
"126","CHIPPEWA MI",2.458,4,0.433333333333333,4,0.9,15.16,17693,14.1,55
"127","CHRISTIAN KY",15.3463636363636,3,0.950666666666667,2,0.99,9.96,18428,14.3,61.3333333333333
"128","CITRUS FL",13.5440909090909,2,0.770538461538462,2,1.055,5.88888888888889,19909,14.5,52
"129","CLACKAMAS OR",2.13214285714286,3.66666666666667,0.712,3,0.863333333333333,4.3,16757.6666666667,13.55,56.3333333333333
"130","CLALLAM WA",17.6245454545455,3,0.4825,3,0.93,9.55,18494.5,15.1,48.75
"131","CLARION PA",1.71888888888889,3,0.90775,2,1.03,14.6,19538.5,14.5,71.6666666666667
"132","CLARK KY",2.191,3,0,4,0.94,16.32,18553.5,12.8,50.5
"133","CLARK NV",14.5245774647887,2.07142857142857,0.714276595744681,1.93333333333333,1.10923076923077,4.8375,21595.0357142857,15.3307692307692,51.3076923076923
"134","CLARK WA",12.1163636363636,3,0.6118125,3,0.895,11.1166666666667,18100.75,16.2,50.8
"135","CLAY FL",13.6663636363636,2.5,0.368066666666667,3,1.015,8.64,20078,15.4,36.6666666666667
"136","CLAY KY",1.16857142857143,3,0.3455,3,0.89,19.35,19132,13.9,55.5
"137","CLAY MO",12.2236363636364,3,0.6215,3.5,0.995,12.7916666666667,19135.75,13.8,100
"138","CLAYTON GA",17.4109090909091,2,0.870166666666667,2,1,5.64,18462,15.4,91
"139","CLEARFIELD PA",8.54333333333333,2.5,0.493,3,1.02,12.88,19498.5,12.85,56.5
"140","CLERMONT OH",14.18,4,0.562571428571429,4,0.96,11.1833333333333,19282,14.9,54
"141","CLEVELAND NC",8.68052631578947,4,0.588818181818182,4,0.94,10.6636363636364,18389.6666666667,15.6,50
"142","CLINTON IA",13.6454545454545,3,0.5156,3,1,4.14285714285714,19996.5,14.1,53.75
"143","CLINTON MO",2.407,3,0,3,0.97,7.1,17900,14.4,50
"144","CLINTON NY",14.085,3,0.473142857142857,3,0.93,10.9333333333333,17558,13.6,81
"145","CLINTON PA",1.39166666666667,3,0.5395,3,0.96,5.8,20112.5,13.4,58.5
"146","COAHOMA MS",2.08333333333333,3,0.487,2,0.98,8.375,18060.5,14.1,54
"147","COBB GA",14.4640909090909,3,0.686875,2.5,0.99,8.9,19758.5,13.45,52
"148","COCHISE AZ",16.195,2,0.341571428571429,1,0.96,15.1833333333333,18876.5,14.9,54
"149","COCONINO AZ",7.24809523809524,3.66666666666667,0.7116,3.5,0.85,7.81428571428571,17563.6666666667,13.9,49.5
"150","CODINGTON SD",13.7918181818182,3,0.319,3,0.88,17.525,18702,14.8,100
"151","COFFEE GA",14.5654545454545,3,0.308571428571429,3,0.9,13.42,20583,14.2,52.5
"152","COFFEE TN",10.36875,3,1.006,3.33333333333333,1.05,12.5833333333333,16728.5,13.5,50.25
"153","COLBERT AL",8.40157894736842,3,0.55175,2.5,1.065,18.0111111111111,17904,15.6,50.4
"154","COLES IL",16.6054545454545,4,1.19842857142857,3,0.94,11.1833333333333,18095,14.8,54.3333333333333
"155","COLLIER FL",12.1559090909091,2,0.5838,2.5,0.98,7.66,20035.25,13.85,54.5
"156","COLLIN TX",11.1878301886792,3.81818181818182,0.592905660377358,3.63636363636364,1.09090909090909,8.54736842105263,20776.1428571429,13.7,53
"157","COLUMBIA FL",1.98,3,0.402571428571429,3,1.05,4.21428571428571,18780.25,13.05,50.75
"158","COLUMBIA NY",2.56,2,0.9095,1,1.02,10.4833333333333,17459,15.7,55
"159","COLUMBIA PA",2.00555555555556,3,1.19825,3,0.98,6.21666666666667,17068,15.1,51
"160","COLUMBIANA OH",8.725,2.5,0.369363636363636,3,1.04,5.15,20119.25,13.95,59
"161","COLUMBUS NC",16.322,3,0.427571428571429,2,0.94,11.4,18508.5,16.5,53
"162","CONTRA COSTA CA",7.92246153846154,2.85714285714286,1.05736734693878,2.85714285714286,0.902857142857143,3.60869565217391,19641.6666666667,14.75,55
"163","COOK IL",12.8273773987207,2.54545454545455,0.704252396166134,2.67391304347826,1.02782608695652,8.97747747747748,19644.5697674419,13.519512195122,59.8636363636364
"164","COOS OR",13.5916666666667,3.5,0.4118,2,0.9,8.35,17066.5,14.8,54.25
"165","CORTLAND NY",1.185,2,0.776,3,0.88,4.14,17958,13.5,55
"166","COWETA GA",8.28277777777778,4.5,1.0634,3.5,1.03,3.34285714285714,18910,14.2,51
"167","COWLITZ WA",15.5327272727273,3,0.935285714285714,3,0.86,9.53333333333333,18180.5,13,43.8
"168","CRAIGHEAD AR",13.7754545454545,3.5,0.862714285714286,2,1.005,15.4,20109,13.8,96.5
"169","CRAWFORD KS",13.9508333333333,3,0.4425,3,0.97,14.5444444444444,18082,14.4,53.5
"170","CRAWFORD MI",2.233,4,0.5325,4,0.89,10.8166666666667,18675.5,13,54
"171","CRAWFORD PA",13.7390909090909,4,0.549625,2,0.95,8.61666666666667,20181.5,14.9,52.5
"172","CRISP GA",1.40875,3,1.2278,3,0.84,12.14,18008,14.2,53.5
"173","CROW WING MN",2.57272727272727,4,1.3905,3,0.86,6.86666666666667,16759.6666666667,11.7,52.6
"174","CULLMAN AL",13.3309090909091,3,0.524,3,0.97,12.2333333333333,18407.5,15.7,53
"175","CULPEPER VA",2.311,3,0.064,3,0.93,8.41666666666667,19010.5,15,54.5
"176","CUMBERLAND ME",9.94032258064516,3.5,0.707,3.25,0.956666666666667,7.24545454545455,18398.7142857143,14.3666666666667,40
"177","CUMBERLAND NC",19.6690909090909,3,0.665375,3,0.95,9.26666666666667,17948,12.6,36
"178","CUMBERLAND NJ",14.3281818181818,3,0.57075,2,1.05,10.6833333333333,21256.5,14.5,64
"179","CUMBERLAND PA",14.2986363636364,3,0.504461538461538,3.5,1.05,9.7,20853,15.7,52.5
"180","CUMBERLAND TN",8.30571428571428,3,0.666,3,0.94,13.4916666666667,18159.75,14.75,54.1666666666667
"181","CURRY NM",2.485,3,0.707,3,0.92,5.2,17832,13.8,48
"182","CUYAHOGA OH",11.9022222222222,3.2,0.709037037037037,3.66666666666667,1.002,8.50657894736842,19752.0344827586,13.1071428571429,51.875
"183","DAKOTA MN",6.37814814814815,4,0.656666666666667,3,0.856666666666667,6.37692307692308,17048.25,15,50.5714285714286
"184","DALLAS AL",14.274,2,0.563,3,0.95,9.58333333333333,18879,15.3,47.5
"185","DALLAS TX",11.0943426294821,3.2,0.546074626865672,3.45833333333333,1.08703703703704,7.95802469135803,19987.9714285714,14.6235294117647,56.875
"186","DANE WI",12.0467647058824,4.25,0.6446,4.5,0.943333333333333,4.86666666666667,18246.4285714286,12.2666666666667,54
"187","DANVILLE CITY VA",15.5663636363636,2,0.382571428571429,1,1.03,2.22,19449,15,47
"188","DARKE OH",2.542,3,0.913333333333333,3,1.04,3.8,16984,13.6,53
"189","DARLINGTON SC",10.234375,3,0.403714285714286,2.5,1.01,6.65,18840.5,13.8,49.5
"190","DAVIDSON NC",2.16894736842105,3.5,0.48825,2.5,0.94,3.7,17555.6666666667,14.6,53.8
"191","DAVIDSON TN",12.8558426966292,3,0.824262295081967,3,0.988888888888889,6.46216216216216,19739.8571428571,14.9285714285714,50.8
"192","DAVIESS IN",1.23875,3,0.383,3,1.19,6,19508.5,15.7,45
"193","DAVIS UT",16.48,3.5,0.281333333333333,3,1.05,13.48,19437.25,13.7,100
"194","DAVISON SD",2.276,4,0.724,4,0.95,11,18159,15.4,53
"195","DE KALB AL",2.502,3,0.075,3,1,6.05,19859.5,16.8,50
"196","DE SOTO FL",1.10428571428571,3,0.217,3,1.01,6.8,19436,13.4,50
"197","DEARBORN IN",13.8363636363636,3,0.612333333333333,3,0.98,15.4166666666667,18688,16.3,54.3333333333333
"198","DEKALB GA",10.01,2.33333333333333,0.882695652173913,2.66666666666667,0.976666666666667,10.2222222222222,18890.1666666667,14.3333333333333,58
"199","DEKALB IL",14.1054545454545,3.5,0.580714285714286,4,1.05,5.6375,18175.6666666667,13.6,69.6666666666667
"200","DEL NORTE CA",1.31875,3,1.02833333333333,3,0.84,13.625,17254.5,12.6,53
"201","DELAWARE OK",1.36888888888889,4,0.1,3,0.99,13.5,20010.5,13.8,50.5
"202","DELAWARE PA",13.8105555555556,2.6,0.485666666666667,3,1.052,9.45,20433.1,13.18,55
"203","DELTA CO",2.255,3,1.719,3,0.92,14.72,17818,15.2,53
"204","DENTON TX",10.8261842105263,3.85714285714286,0.68275,3.33333333333333,1.09,6.34166666666667,21463.1,13.68,53
"205","DES MOINES IA",15.2327272727273,3,0.528428571428571,2,0.88,11.0833333333333,18141,14.4,54
"206","DESCHUTES OR",9.0647619047619,3.5,0.727,3.5,0.91,1.68,17629.3333333333,15.1,49
"207","DESOTO MS",9.85611111111111,3,0.738083333333333,3,0.98,10.7909090909091,18446.6666666667,14.3,56.3333333333333
"208","DICKINSON MI",14.1345454545455,3,0,4,0.94,10.35,18090,13.8,55.5
"209","DICKSON TN",2.4,3,0.6465,3,1,3.525,20753.5,13.6,46
"210","DILLON SC",1.07714285714286,4,0.809,4,0.87,4.03333333333333,18286.5,15.3,52
"211","DISTRICT OF COLUMBIA DC",14.8283561643836,2,0.801,1.42857142857143,0.98,11.8378378378378,19312.2857142857,13.9,57.3333333333333
"212","DODGE NE",14.3518181818182,3,0.790666666666667,2,1.03,12.65,19473.5,15.6,48
"213","DOUGLAS CO",10.8177419354839,3.33333333333333,0.568526315789474,3.33333333333333,0.98,7.11538461538462,18994.75,13.85,51
"214","DOUGLAS GA",12.8536363636364,3,0.639,3,0.94,10.9166666666667,19076.5,13.6,51.5
"215","DOUGLAS KS",13.7572727272727,4,0.2365,3,0.91,9.56666666666667,19319.5,13.5,50
"216","DOUGLAS NE",11.4984705882353,3.77777777777778,0.657695652173913,3.5,0.984444444444444,8.18125,19936.0833333333,13.4833333333333,54.2857142857143
"217","DOUGLAS OR",14.1863636363636,2,0.517,3,0.86,9.34444444444444,17180.3333333333,13.7,97
"218","DUBOIS IN",11.2636363636364,4,1.07333333333333,5,0.93,9.51666666666667,18322.5,12.5,54
"219","DUNKLIN MO",1.30625,3,0.9265,2,1.01,7.5,17927,14.9,47
